BOW_Code,Species_Scientific_Name,Species_Common_Name,Total_Citation_Num,Diet_Information,Diet_Entry_Length,Diet_Citation_Num,Percentile_Total_Citation_Num,Percentile_Diet_Entry_Length,Percentile_Diet_Citation_Num,Certainty
maggoo1,Anseranas semipalmata,Magpie Goose,34,TRUE,82,1,0.643867704,0.48069896,0.638386583,0.587651082
spwduc1,Dendrocygna guttata,Spotted Whistling-Duck,19,TRUE,37,1,0.332240232,0.245526094,0.638386583,0.405384303
plwduc1,Dendrocygna eytoni,Plumed Whistling-Duck,17,TRUE,35,1,0.273728099,0.22861426,0.638386583,0.380242981
wfwduc1,Dendrocygna viduata,White-faced Whistling-Duck,82,TRUE,212,8,0.881382929,0.659655205,0.930291389,0.823776508
bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck,173,TRUE,365,5,0.947718542,0.707017708,0.893235267,0.849323839
wiwduc1,Dendrocygna arborea,West Indian Whistling-Duck,46,TRUE,147,9,0.760845123,0.606062026,0.937833786,0.768246978
fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,212,TRUE,799,17,0.962006933,0.739998126,0.970064649,0.890689903
wawduc1,Dendrocygna arcuata,Wandering Whistling-Duck,32,TRUE,64,3,0.616040476,0.408132671,0.852431369,0.625534839
lewduc1,Dendrocygna javanica,Lesser Whistling-Duck,45,TRUE,123,6,0.753677504,0.572941066,0.908741685,0.745120085
whbduc1,Thalassornis leuconotus,White-backed Duck,42,TRUE,78,4,0.729316968,0.468424998,0.876089197,0.691277054
bahgoo,Anser indicus,Bar-headed Goose,80,TRUE,117,2,0.878759487,0.56240045,0.818654549,0.753271495
empgoo,Anser canagicus,Emperor Goose,179,TRUE,267,9,0.950154596,0.683406727,0.937833786,0.857131703
snogoo,Anser caerulescens,Snow Goose,473,TRUE,971,19,0.996720697,0.742902652,0.974187201,0.904603517
rosgoo,Anser rossii,Ross's Goose,235,TRUE,189,2,0.9692214,0.645835285,0.818654549,0.811237078
gragoo,Anser anser,Graylag Goose,240,TRUE,517,22,0.970907898,0.727021456,0.977794435,0.89190793
swagoo1,Anser cygnoides,Swan Goose,35,TRUE,154,4,0.65740654,0.613089103,0.876089197,0.71552828
gwfgoo,Anser albifrons,Greater White-fronted Goose,379,TRUE,933,28,0.99217652,0.742293638,0.982526,0.905665386
lwfgoo,Anser erythropus,Lesser White-fronted Goose,109,TRUE,124,1,0.912583154,0.574112246,0.638386583,0.708360661
taibeg1,Anser fabalis,Taiga Bean-Goose,139,TRUE,345,13,0.933711234,0.702754614,0.957978076,0.864814641
tunbeg1,Anser serrirostris,Tundra Bean-Goose,139,TRUE,46,2,0.933711234,0.307832849,0.818654549,0.686732877
pifgoo,Anser brachyrhynchus,Pink-footed Goose,115,TRUE,314,12,0.917502108,0.695586995,0.953808676,0.855632593
brant,Branta bernicla,Brant,572,TRUE,550,37,0.998126113,0.729925981,0.986554858,0.904868984
bargoo,Branta leucopsis,Barnacle Goose,297,TRUE,348,14,0.98219807,0.703738405,0.961351073,0.882429183
cacgoo1,Branta hutchinsii,Cackling Goose,310,TRUE,279,8,0.983931416,0.687248196,0.930291389,0.867157001
cangoo,Branta canadensis,Canada Goose,610,TRUE,462,14,0.998594584,0.722524126,0.961351073,0.894156595
hawgoo,Branta sandvicensis,Hawaiian Goose,137,TRUE,587,12,0.932821137,0.732502577,0.953808676,0.87304413
rebgoo1,Branta ruficollis,Red-breasted Goose,62,TRUE,86,3,0.839220463,0.492879228,0.852431369,0.72817702
cabgoo1,Cereopsis novaehollandiae,Cape Barren Goose,22,TRUE,97,6,0.413848028,0.521549705,0.908741685,0.614713139
freduc1,Stictonetta naevosa,Freckled Duck,21,TRUE,69,2,0.387426216,0.432352666,0.818654549,0.546144477
buwgoo1,Cyanochen cyanoptera,Blue-winged Goose,17,TRUE,47,1,0.273728099,0.314250914,0.638386583,0.408788532
mutswa,Cygnus olor,Mute Swan,354,TRUE,985,50,0.990817952,0.743183735,0.989459383,0.907820357
blkswa,Cygnus atratus,Black Swan,55,TRUE,273,8,0.81148693,0.684765296,0.930291389,0.808847872
blnswa2,Cygnus melancoryphus,Black-necked Swan,38,TRUE,116,5,0.692729317,0.560292326,0.893235267,0.71541897
truswa,Cygnus buccinator,Trumpeter Swan,415,TRUE,419,9,0.994753115,0.716855617,0.937833786,0.883147506
tunswa,Cygnus columbianus,Tundra Swan,230,TRUE,594,29,0.96805022,0.732971048,0.982807083,0.894609451
whoswa,Cygnus cygnus,Whooper Swan,103,TRUE,317,9,0.906211937,0.696242856,0.937833786,0.84676286
cosswa1,Coscoroba coscoroba,Coscoroba Swan,40,TRUE,62,3,0.712264593,0.399372248,0.852431369,0.654689403
comduc2,Sarkidiornis melanotos,Knob-billed Duck,57,TRUE,104,8,0.819778881,0.536353415,0.930291389,0.762141229
comduc3,Sarkidiornis sylvicola,Comb Duck,36,TRUE,24,0,0.67005528,0.13843343,0.238920641,0.34913645
harduc1,Pteronetta hartlaubii,Hartlaub's Duck,24,TRUE,118,5,0.463084419,0.564461726,0.893235267,0.64026047
origoo1,Oressochen jubatus,Orinoco Goose,34,TRUE,141,0,0.643867704,0.597582685,0.238920641,0.49345701
andgoo1,Oressochen melanopterus,Andean Goose,18,TRUE,25,0,0.302585965,0.147147006,0.238920641,0.229551204
uplgoo1,Chloephaga picta,Upland Goose,34,TRUE,267,5,0.643867704,0.683406727,0.893235267,0.740169899
kelgoo1,Chloephaga hybrida,Kelp Goose,21,TRUE,103,7,0.387426216,0.534245292,0.921343577,0.614338362
ashgoo1,Chloephaga poliocephala,Ashy-headed Goose,25,TRUE,150,2,0.485243137,0.609716106,0.818654549,0.637871264
ruhgoo1,Chloephaga rubidiceps,Ruddy-headed Goose,33,TRUE,99,2,0.630000937,0.526047035,0.818654549,0.658234173
radshe1,Radjah radjah,Radjah Shelduck,17,TRUE,131,4,0.273728099,0.584324932,0.876089197,0.578047409
egygoo,Alopochen aegyptiaca,Egyptian Goose,211,TRUE,245,10,0.961772697,0.675958025,0.944579781,0.860770168
rudshe,Tadorna ferruginea,Ruddy Shelduck,262,TRUE,507,14,0.975826853,0.725803429,0.961351073,0.887660452
soashe1,Tadorna cana,South African Shelduck,148,TRUE,351,13,0.938911271,0.704347419,0.957978076,0.867078922
ausshe1,Tadorna tadornoides,Australian Shelduck,30,TRUE,98,2,0.584231238,0.52379837,0.818654549,0.642228052
parshe1,Tadorna variegata,Paradise Shelduck,27,TRUE,114,5,0.527686686,0.557013024,0.893235267,0.659311659
comshe,Tadorna tadorna,Common Shelduck,124,TRUE,172,8,0.924060714,0.632249602,0.930291389,0.828867235
creshe1,Tadorna cristata,Crested Shelduck,3,TRUE,38,1,0.004356788,0.252318936,0.638386583,0.298354102
spwgoo1,Plectropterus gambensis,Spur-winged Goose,42,TRUE,179,13,0.729316968,0.637824417,0.957978076,0.77503982
flystd1,Tachyeres patachonicus,Flying Steamer-Duck,37,TRUE,105,4,0.682095006,0.538836316,0.876089197,0.69900684
flistd1,Tachyeres pteneres,Flightless Steamer-Duck,28,TRUE,41,1,0.547221962,0.274337112,0.638386583,0.486648552
falstd1,Tachyeres brachypterus,Falkland Steamer-Duck,20,TRUE,50,1,0.36039539,0.334020425,0.638386583,0.444267466
whhstd1,Tachyeres leucocephalus,White-headed Steamer-Duck,22,TRUE,69,0,0.413848028,0.432352666,0.238920641,0.361707111
creduc1,Lophonetta specularioides,Crested Duck,34,TRUE,68,0,0.643867704,0.427340017,0.238920641,0.436709454
speduc2,Speculanas specularis,Spectacled Duck,19,TRUE,67,3,0.332240232,0.422374215,0.852431369,0.535681939
musduc,Cairina moschata,Muscovy Duck,59,TRUE,41,0,0.827742903,0.274337112,0.238920641,0.447000219
grnpyg1,Nettapus pulchellus,Green Pygmy-Goose,16,TRUE,124,4,0.244167526,0.574112246,0.876089197,0.564789656
copgoo1,Nettapus coromandelianus,Cotton Pygmy-Goose,51,TRUE,81,3,0.790452544,0.47737281,0.852431369,0.706752241
afrpyg1,Nettapus auritus,African Pygmy-Goose,45,TRUE,137,7,0.753677504,0.592288953,0.921343577,0.755770012
rintea1,Callonetta leucophrys,Ringed Teal,25,TRUE,65,4,0.485243137,0.412161529,0.876089197,0.591164621
wooduc,Aix sponsa,Wood Duck,342,TRUE,336,13,0.989365689,0.700974421,0.957978076,0.882772729
manduc,Aix galericulata,Mandarin Duck,83,TRUE,98,8,0.883209969,0.52379837,0.930291389,0.779099909
manduc1,Chenonetta jubata,Maned Duck,33,TRUE,139,4,0.630000937,0.595146632,0.876089197,0.700412255
bratea1,Amazonetta brasiliensis,Brazilian Teal,28,TRUE,123,3,0.547221962,0.572941066,0.852431369,0.657531466
bluduc1,Hymenolaimus malacorhynchos,Blue Duck,47,TRUE,358,17,0.766841563,0.705752834,0.970064649,0.814219682
torduc1,Merganetta armata,Torrent Duck,40,TRUE,106,0,0.712264593,0.541366064,0.238920641,0.497517099
saltea1,Salvadorina waigiuensis,Salvadori's Teal,20,TRUE,67,2,0.36039539,0.422374215,0.818654549,0.533808051
baitea,Sibirionetta formosa,Baikal Teal,56,TRUE,217,7,0.815375246,0.662747119,0.921343577,0.799821981
gargan,Spatula querquedula,Garganey,112,TRUE,162,3,0.914691277,0.622880165,0.852431369,0.796667604
hottea1,Spatula hottentota,Blue-billed Teal,43,TRUE,182,10,0.73826478,0.640401012,0.944579781,0.774415191
siltea1,Spatula versicolor,Silver Teal,32,TRUE,NA,1,0.616040476,0.748805397,0.638386583,0.667744152
puntea1,Spatula puna,Puna Teal,8,TRUE,9,0,0.043614729,0.03860208,0.238920641,0.107045817
buwtea,Spatula discors,Blue-winged Teal,402,TRUE,312,10,0.993628783,0.695305912,0.944579781,0.877838159
cintea,Spatula cyanoptera,Cinnamon Teal,224,TRUE,248,6,0.965988944,0.677410288,0.908741685,0.850713639
redsho1,Spatula platalea,Red Shoveler,31,TRUE,59,2,0.600768294,0.385552328,0.818654549,0.60165839
capsho1,Spatula smithii,Cape Shoveler,32,TRUE,133,7,0.616040476,0.588119554,0.921343577,0.708501202
aussho1,Spatula rhynchotis,Australasian Shoveler,27,TRUE,96,2,0.527686686,0.519019957,0.818654549,0.621787064
norsho,Spatula clypeata,Northern Shoveler,347,TRUE,485,21,0.989881008,0.724491708,0.976670102,0.897014273
gadwal,Mareca strepera,Gadwall,379,TRUE,420,16,0.99217652,0.717183547,0.96772229,0.892360786
falduc,Mareca falcata,Falcated Duck,52,TRUE,79,2,0.796589525,0.471142134,0.818654549,0.695462069
eurwig,Mareca penelope,Eurasian Wigeon,180,TRUE,306,17,0.950623068,0.694275274,0.970064649,0.87165433
amewig,Mareca americana,American Wigeon,349,TRUE,1724,10,0.990255786,0.747493676,0.944579781,0.894109747
chiwig1,Mareca sibilatrix,Chiloe Wigeon,32,TRUE,109,4,0.616040476,0.548205753,0.876089197,0.680111809
amsduc1,Mareca marecula,Amsterdam Duck,1,FALSE,0,0,0.000890097,0.008104563,0.238920641,0.082638433
afbduc1,Anas sparsa,African Black Duck,34,TRUE,88,3,0.643867704,0.498922515,0.852431369,0.665073862
yebduc1,Anas undulata,Yellow-billed Duck,41,TRUE,166,5,0.720697086,0.626440551,0.893235267,0.746790968
melduc1,Anas melleri,Meller's Duck,21,TRUE,133,7,0.387426216,0.588119554,0.921343577,0.632296449
pabduc1,Anas superciliosa,Pacific Black Duck,70,TRUE,114,3,0.860910709,0.557013024,0.852431369,0.756785034
layduc,Anas laysanensis,Laysan Duck,72,TRUE,188,5,0.86522065,0.64508573,0.893235267,0.801180549
hawduc,Anas wyvilliana,Hawaiian Duck,64,TRUE,281,1,0.845310597,0.68785721,0.638386583,0.723851463
phiduc1,Anas luzonica,Philippine Duck,24,TRUE,129,6,0.463084419,0.581467254,0.908741685,0.651097786
isbduc1,Anas poecilorhyncha,Indian Spot-billed Duck,54,TRUE,73,2,0.806521128,0.449030263,0.818654549,0.69140198
spbduc,Anas zonorhyncha,Eastern Spot-billed Duck,23,TRUE,84,3,0.439660826,0.48702333,0.852431369,0.593038508
mallar3,Anas platyrhynchos,Mallard,910,TRUE,622,22,0.999812611,0.734423311,0.977794435,0.904010119
mexduc,Anas diazi,Mexican Duck,454,TRUE,482,14,0.995783753,0.724257472,0.961351073,0.893797433
ambduc,Anas rubripes,American Black Duck,374,TRUE,867,34,0.991942284,0.741403542,0.985430526,0.906258784
motduc,Anas fulvigula,Mottled Duck,173,TRUE,210,10,0.947718542,0.658437178,0.944579781,0.850245167
captea1,Anas capensis,Cape Teal,37,TRUE,147,6,0.682095006,0.606062026,0.908741685,0.732299572
whcpin,Anas bahamensis,White-cheeked Pintail,57,TRUE,168,3,0.819778881,0.62878291,0.852431369,0.76699772
rebduc1,Anas erythrorhyncha,Red-billed Duck,37,TRUE,218,6,0.682095006,0.663356132,0.908741685,0.751397608
norpin,Anas acuta,Northern Pintail,501,TRUE,1099,27,0.997470252,0.744776539,0.982057528,0.90810144
eatpin1,Anas eatoni,Eaton's Pintail,4,TRUE,49,2,0.007355008,0.328164527,0.818654549,0.384724695
yebpin1,Anas georgica,Yellow-billed Pintail,44,TRUE,197,4,0.746041413,0.650801087,0.876089197,0.757643899
gnwtea,Anas crecca,Green-winged Teal,382,TRUE,523,14,0.992738686,0.727630469,0.961351073,0.893906743
spetea3,Anas andium,Andean Teal,7,TRUE,9,0,0.030638059,0.03860208,0.238920641,0.10272026
yebtea1,Anas flavirostris,Yellow-billed Teal,52,TRUE,97,2,0.796589525,0.521549705,0.818654549,0.712264593
andtea1,Anas albogularis,Andaman Teal,10,TRUE,47,1,0.079546519,0.314250914,0.638386583,0.344061339
suntea1,Anas gibberifrons,Sunda Teal,26,TRUE,NA,1,0.50698023,0.748899091,0.638386583,0.631421968
gretea1,Anas gracilis,Gray Teal,57,TRUE,116,5,0.819778881,0.560292326,0.893235267,0.757768825
chetea1,Anas castanea,Chestnut Teal,30,TRUE,105,4,0.584231238,0.538836316,0.876089197,0.666385584
bertea1,Anas bernieri,Bernier's Teal,28,TRUE,142,6,0.547221962,0.598894406,0.908741685,0.684952684
auitea1,Anas aucklandica,Auckland Islands Teal,59,TRUE,66,1,0.827742903,0.416986789,0.638386583,0.627705425
caitea1,Anas nesiotis,Campbell Islands Teal,6,TRUE,NA,1,0.020003748,0.748992786,0.638386583,0.469127705
brotea1,Anas chlorotis,Brown Teal,17,TRUE,49,1,0.273728099,0.328164527,0.638386583,0.413426403
pieduc1,Malacorhynchus membranaceus,Pink-eared Duck,22,TRUE,111,3,0.413848028,0.552187764,0.852431369,0.60615572
martea1,Marmaronetta angustirostris,Marbled Teal,93,TRUE,370,9,0.896233486,0.707954652,0.937833786,0.847340641
pihduc1,Rhodonessa caryophyllacea,Pink-headed Duck,61,TRUE,57,2,0.836081701,0.374496393,0.818654549,0.676410881
whwduc1,Asarcornis scutulata,White-winged Duck,62,TRUE,194,11,0.839220463,0.649161435,0.949826665,0.812736188
recpoc,Netta rufina,Red-crested Pochard,419,TRUE,947,45,0.99484681,0.74243418,0.98819451,0.908491833
soupoc1,Netta erythrophthalma,Southern Pochard,56,TRUE,114,5,0.815375246,0.557013024,0.893235267,0.755207845
robpoc1,Netta peposaca,Rosy-billed Pochard,32,TRUE,125,2,0.616040476,0.575611356,0.818654549,0.670102127
canvas,Aythya valisineria,Canvasback,308,TRUE,827,12,0.98369718,0.74093507,0.953808676,0.892813642
redhea,Aythya americana,Redhead,401,TRUE,1443,46,0.993488241,0.746931509,0.988616134,0.909678628
compoc,Aythya ferina,Common Pochard,167,TRUE,213,12,0.946172585,0.660451607,0.953808676,0.853477623
rinduc,Aythya collaris,Ring-necked Duck,286,TRUE,1045,25,0.980230488,0.744026984,0.98037103,0.901542834
ferduc,Aythya nyroca,Ferruginous Duck,136,TRUE,260,7,0.932212124,0.681485993,0.921343577,0.845013898
madpoc1,Aythya innotata,Madagascar Pochard,36,TRUE,92,5,0.67005528,0.509603673,0.893235267,0.69096474
baepoc1,Aythya baeri,Baer's Pochard,47,TRUE,141,4,0.766841563,0.597582685,0.876089197,0.746837815
wheduc1,Aythya australis,Hardhead,38,TRUE,90,1,0.692729317,0.504544177,0.638386583,0.611886692
tufduc,Aythya fuligula,Tufted Duck,184,TRUE,340,18,0.952496955,0.701817671,0.972266467,0.875527031
nezsca1,Aythya novaeseelandiae,New Zealand Scaup,16,TRUE,186,4,0.244167526,0.64358662,0.876089197,0.587947781
gresca,Aythya marila,Greater Scaup,273,TRUE,881,30,0.978075518,0.741637778,0.983322402,0.901011899
lessca,Aythya affinis,Lesser Scaup,457,TRUE,1072,31,0.995971142,0.744448609,0.983884569,0.90810144
steeid,Polysticta stelleri,Steller's Eider,164,TRUE,697,24,0.9450951,0.737093601,0.979621475,0.887270058
speeid,Somateria fischeri,Spectacled Eider,126,TRUE,237,7,0.925606671,0.67253818,0.921343577,0.839829476
kineid,Somateria spectabilis,King Eider,314,TRUE,617,12,0.984634123,0.73428277,0.953808676,0.890908523
comeid,Somateria mollissima,Common Eider,508,TRUE,442,21,0.997563946,0.72013492,0.976670102,0.898122989
harduc,Histrionicus histrionicus,Harlequin Duck,248,TRUE,605,18,0.97254755,0.733486367,0.972266467,0.892766795
sursco,Melanitta perspicillata,Surf Scoter,369,TRUE,1141,0,0.991708048,0.745245011,0.238920641,0.658624567
whwsco3,Melanitta fusca,Velvet Scoter,138,TRUE,159,7,0.933336456,0.620069334,0.921343577,0.824916456
whwsco2,Melanitta deglandi,White-winged Scoter,209,TRUE,535,18,0.960976295,0.728754802,0.972266467,0.887332521
whwsco1,Melanitta stejnegeri,Stejneger's Scoter,32,TRUE,91,3,0.616040476,0.50698023,0.852431369,0.658484025
blksco1,Melanitta nigra,Common Scoter,110,TRUE,261,10,0.913285862,0.681720229,0.944579781,0.846528624
blksco2,Melanitta americana,Black Scoter,162,TRUE,453,17,0.944064462,0.721446641,0.970064649,0.878525251
lotduc,Clangula hyemalis,Long-tailed Duck,331,TRUE,752,46,0.987210719,0.738780099,0.988616134,0.904868984
buffle,Bucephala albeola,Bufflehead,229,TRUE,446,14,0.967675443,0.720697086,0.961351073,0.883241201
comgol,Bucephala clangula,Common Goldeneye,320,TRUE,447,10,0.985617914,0.72079078,0.944579781,0.883662825
bargol,Bucephala islandica,Barrow's Goldeneye,221,TRUE,324,6,0.965098848,0.697976202,0.908741685,0.857272245
smew,Mergellus albellus,Smew,72,TRUE,333,8,0.86522065,0.70050595,0.930291389,0.832005996
hoomer,Lophodytes cucullatus,Hooded Merganser,201,TRUE,341,10,0.958165464,0.702051907,0.944579781,0.868265717
commer,Mergus merganser,Common Merganser,376,TRUE,564,33,0.992035979,0.730816078,0.984915207,0.902589088
bramer1,Mergus octosetaceus,Brazilian Merganser,51,TRUE,117,0,0.790452544,0.56240045,0.238920641,0.530591211
rebmer,Mergus serrator,Red-breasted Merganser,332,TRUE,614,21,0.987398107,0.734142228,0.976670102,0.899403479
scsmer1,Mergus squamatus,Scaly-sided Merganser,60,TRUE,327,10,0.832240232,0.698959993,0.944579781,0.825260002
blhduc1,Heteronetta atricapilla,Black-headed Duck,29,TRUE,58,0,0.566148224,0.380305444,0.238920641,0.39512477
masduc,Nomonyx dominicus,Masked Duck,144,TRUE,51,3,0.937037384,0.339642088,0.852431369,0.709703613
rudduc,Oxyura jamaicensis,Ruddy Duck,219,TRUE,1074,35,0.964630376,0.74458915,0.985898997,0.898372841
andduc1,Oxyura ferruginea,Andean Duck,8,TRUE,35,1,0.043614729,0.22861426,0.638386583,0.303538524
whhduc1,Oxyura leucocephala,White-headed Duck,241,TRUE,826,21,0.971188982,0.740841375,0.976670102,0.896233486
macduc1,Oxyura maccoa,Maccoa Duck,43,TRUE,101,6,0.73826478,0.53012274,0.908741685,0.725709735
lakduc1,Oxyura vittata,Lake Duck,29,TRUE,25,0,0.566148224,0.147147006,0.238920641,0.317405291
blbduc1,Oxyura australis,Blue-billed Duck,24,TRUE,78,3,0.463084419,0.468424998,0.852431369,0.594646928
